email_id,subject,body,insurance_type,intent,priority,policy_number,claim_number,action,decision_reason,response_email,human_note
insurance-email-013,Home claim after storm,"Hello, a storm damaged part of my roof on Monday evening. I would like to open a claim. My home policy is HMO-709311. The damage is to the rear side of the house and there is a leak now.",home,claim_opening,high,HMO-709311,,escalate_to_human,Policy was found but is cancelled; the customer is requesting a new claim opening and this requires human handling due to the policy status and potential coverage implications.,,"Customer requests opening a home claim for storm damage to roof/rear side leak under policy HMO-709311. Policy record shows the policy is cancelled and cancellation has taken effect. Please verify whether any assistance, coverage exception, or alternate next steps are appropriate."
insurance-email-014,Cancel my travel policy,"Good evening, please cancel my travel insurance starting from tomorrow because my trip has been postponed. Policy number TRV-331877. Please confirm if I will get any refund.",travel,policy_cancellation,high,TRV-331877,,escalate_to_human,Customer requests policy cancellation and asks about refund eligibility; this requires confirmation of cancellation terms and cannot be answered safely from the policy record alone.,,Please review policy TRV-331877 for cancellation request effective tomorrow and confirm whether any refund applies under the travel policy terms.
insurance-email-015,Claim number not working,"Hi, I tried to check the status of my claim online but it says the number is invalid. The claim number I have is CLM-554782. Could you check it for me?",unknown,claim_status,medium,,CLM-554782,escalate_to_human,"The claim was found, but it is closed and the record indicates further questions require manual follow-up.",,Customer reports the claim number CLM-554782 is invalid online. Internal record shows the claim is closed and notes that further questions require manual follow-up. Please verify the customer’s request and provide a status explanation or next steps as appropriate.
insurance-email-016,Update my phone number,"Dear team, please update the contact number on my home insurance account. Policy HMO-293018. My new mobile is 555-0148. Thank you.",home,policy_change,medium,HMO-293018,,escalate_to_human,"Customer requests a policy contact detail change, which is a policy modification and cannot be completed by email; policy record was found and is active, so the request should be handled by a human operator.",,Please verify the customer's identity and update the contact phone number on home policy HMO-293018 if authorized. Current request: change mobile to 555-0148.
insurance-email-017,Travel delay reimbursement,"Hello, my flight was delayed for over 10 hours and I had to pay for a hotel. Can I submit this under my travel insurance? Policy TRV-100447. I have the receipts.",travel,claim_opening,medium,TRV-100447,,reply_to_client,Policy was found and is active; the request is a general claim-opening question that can be answered without sensitive adjudication.,"Subject: Re: Travel delay reimbursement

Hello,

Thanks for reaching out. Your travel policy is active, so you can submit a claim for review for expenses related to a delayed flight, including your hotel receipt, if those costs are covered under your policy terms.

Please send in the receipts and any supporting documents you have for the delay so the claim can be reviewed.

Kind regards,
Insurance Support",
insurance-email-018,Question about no claim discount,"Hi, I want to know whether my no claim discount is still intact on my car insurance. Policy AUT-781205. I had a windscreen repair last year, if that matters.",auto,policy_information,medium,AUT-781205,,reply_to_client,Policy record found and sufficient to answer the status question safely; no claim details were needed.,"Subject: Re: Question about no claim discount

Hello,

Thank you for your email. I was able to confirm that your car insurance policy AUT-781205 is active, and the current record shows that the renewal payment is awaiting processing.

I’m sorry, but I’m not able to confirm the status of your no claim discount from the information available in the policy record provided. If you would like, you can reply with any additional reference details and we can look into this further.

Kind regards,
Customer Service",
insurance-email-019,Claim documents uploaded,"Good day, I uploaded all the documents for claim CLM-332119 yesterday, but the portal still shows pending. Could you confirm if they were received? It was for a stolen bicycle from my garage.",home,document_submission,medium,,CLM-332119,reply_to_client,"Claim record found and confirms the claim is waiting for documents, so we can acknowledge receipt status without making any decision on the claim.","Dear Customer,

Thank you for your message. I checked claim CLM-332119, and the claim is currently marked as waiting for documents. This means additional evidence is still needed before the review can continue.

If you have already uploaded the documents, please allow a little time for the portal status to update. If the status remains unchanged, you may want to recheck that all requested files were uploaded successfully.

Kind regards,
Customer Support",
insurance-email-020,Need policy start date,"Hello, can you tell me the exact start date of my travel policy? I only have the reference TRV-665408 and need it for a visa appointment. Thanks.",travel,policy_information,medium,TRV-665408,,escalate_to_human,"Policy record found, but the available data does not include the requested start date.",,Customer requests the exact policy start date for travel policy TRV-665408. The retrieved record only confirms an active travel policy and does not provide the start date. Please verify the policy inception/start date and respond to the customer.
insurance-email-021,Home insurance for a rental property,"Dear insurance team, I own a rental flat and need to know if my current home policy covers it or if I need a different one. Policy HMO-830115. Please advise.",home,policy_information,medium,HMO-830115,,reply_to_client,Policy record found and request can be answered with available policy status only; no sensitive or contested issue identified.,"Dear Customer,

Thank you for your email regarding policy HMO-830115.

We can confirm that this is an active home policy with standard terms. Based on the information available in the policy record, we are not able to confirm specific coverage for a rental flat from this record alone.

If the property is rented out, you may want to review the policy wording or speak with your insurance adviser to confirm whether your current cover remains suitable for a rental property.

Kind regards,
Insurance Team",
insurance-email-022,Auto accident on Saturday,"Hi, I had a small accident on Saturday and want to report it. Nobody was injured, but my front bumper is damaged. My policy number is AUT-490772. What should I do next?",auto,claim_opening,high,AUT-490772,,escalate_to_human,"Policy number provided was not found in the internal records, so the request cannot be answered safely or completely.",,"Customer is reporting an auto accident and asked for next steps. Policy number AUT-490772 was not found in the system. Please verify the policy number, confirm coverage, and assist with claim intake guidance."
insurance-email-023,Travel policy for my son,"Hello, I bought a family travel policy and I am not sure whether my 16-year-old son is covered for the whole trip. Policy TRV-218344. Please confirm.",travel,policy_information,medium,TRV-218344,,escalate_to_human,"Policy record only confirms the travel policy is active; it does not provide dependent eligibility or coverage details for the son, so a safe answer cannot be given.",,Customer asks whether their 16-year-old son is covered for the whole trip under travel policy TRV-218344. The policy record only shows the policy is active; please verify dependent/age coverage terms and respond with the applicable policy wording.
insurance-email-024,Incorrect premium amount,"Dear support, my latest auto insurance payment request shows a different amount than my last statement. Policy AUT-603991. Could you explain the difference? I don't think I changed anything.",auto,payment_information,medium,AUT-603991,,reply_to_client,Policy found and the request is a straightforward explanation of a billing difference; record indicates current payment processing is pending for the term.,"Dear Customer,

Thank you for reaching out. For policy AUT-603991, your current term’s payment is still being processed, which can cause the amount shown on a new payment request to differ from the amount on your last statement.

Please review the latest payment request details and your prior statement side by side to compare the amounts shown for the current term. If you would like, I can also help you understand the line items shown on your payment request.

Best regards,
Customer Support",
insurance-email-025,Claim status please,"Hi, I filed a home claim after my ceiling started leaking. Claim number HCL-119804. Can you tell me if someone has been assigned yet? I haven't received any calls.",home,claim_status,medium,,HCL-119804,reply_to_client,Claim record found and status can be shared safely from the record.,"Subject: Re: Claim status please

Hello,

Thank you for reaching out. I can confirm that your home claim HCL-119804 is currently in assessment in progress for the reported property damage.

If you have not yet received a call, please continue to monitor your phone and email for updates from the assigned team. If anything changes with your contact information, please let us know.

Best regards,
Claims Support",
insurance-email-026,Need to change my cover start date,"Hello, I need to move the start date of my travel insurance by one week because my departure changed. Policy TRV-477201. Please let me know if that is possible.",travel,policy_change,medium,TRV-477201,,escalate_to_human,"Policy is cancelled, so a cover start date change cannot be answered safely without human review.",,Customer requests moving the travel policy start date by one week for policy TRV-477201. The policy record shows it is cancelled; please verify whether any date change is possible or whether the customer needs an alternative resolution.
insurance-email-027,Damage to side mirror,"Good morning, my car's side mirror was broken in a parking lot. I want to open a claim under policy AUT-115933. The car is still drivable.",auto,claim_opening,high,AUT-115933,,escalate_to_human,"Policy found but it is expired, so the claim-opening request cannot be answered safely without human review.",,Customer requests claim opening for auto policy AUT-115933. Policy record shows the policy is expired before the latest request. Please verify coverage/eligibility and advise the customer on next steps.
insurance-email-028,Policy wording request,"Dear all, could you send me the full wording for my home insurance policy? Number HMO-551809. I need to check the escape of water section.",home,document_request,medium,HMO-551809,,reply_to_client,"Policy record found and the request is for policy wording; the only relevant fact needed is that the policy exists and is cancelled. We can respond with a safe, general instruction to request a copy of the wording through the usual service channel without stating unavailable terms.","Dear Customer,

Thank you for your email.

We have located your home insurance policy, policy number HMO-551809. Please contact our customer service team to request a copy of the full policy wording, including the escape of water section.

If you need help with anything else, please let us know.

Kind regards,
Customer Service",
insurance-email-029,Refund after cancellation,"Hello, I cancelled my travel policy a few days ago but have not seen the refund yet. Policy TRV-229601. Can you tell me when it will be processed?",travel,payment_information,medium,TRV-229601,,reply_to_client,Policy record found and contains sufficient information to answer the status question safely.,"Hello,

Thank you for your message. I checked policy TRV-229601, and the current status is payment pending. The record shows that the premium payment is awaiting confirmation.

If you recently cancelled the policy and are expecting a refund, you may wish to allow additional time for the cancellation and payment records to update. If you do not see any change after a few business days, please reply with any cancellation confirmation you received so we can review it further.

Kind regards,",
insurance-email-030,Urgent: claim not progressing,"Hi, this is taking way too long. My auto claim CLM-771044 was opened nearly two weeks ago and I still don't know what's happening. Please respond today if possible.",auto,claim_status,high,,CLM-771044,reply_to_client,Claim record found and status is sufficient to answer with a safe status update.,"Subject: Re: Urgent: claim not progressing

Hello,

Thank you for your message. I checked your claim CLM-771044 and it is currently waiting for documents. A requested repair report is still missing from the claim file.

Once the required document is received, the claim can continue moving forward. If you have already submitted the repair report, please allow some time for it to be added to the file.

If you can send the report as soon as possible, that should help avoid further delay.

Best regards,
Claims Team",
insurance-email-031,Change beneficiary on policy,"Dear team, I would like to update the beneficiary contact on my home insurance records. Policy HMO-404512. Please tell me the next step, as I can't find the form.",home,policy_change,medium,HMO-404512,,reply_to_client,"Policy record found and active; customer asks for next steps for a beneficiary contact update, which can be handled without changing the policy.","Dear Customer,

Thank you for your email. We found your active home insurance policy, HMO-404512.

To update the beneficiary contact details, please reply with the new contact information you would like us to add. If you have a preferred form for this request, we can help point you in the right direction once we have the updated details.

If you would like, you can also include:
- Full name of the new beneficiary contact
- Relationship to the policyholder
- Phone number and/or email address

Once we receive the details, we will advise you on the next step.

Kind regards,
Customer Service",
insurance-email-032,Travel medical issue,"Hello, while abroad I had to visit a clinic after twisting my ankle. I believe my travel insurance may cover this. Policy TRV-875390. What documents do you need from the doctor?",travel,document_request,medium,TRV-875390,,reply_to_client,"Policy record found and the request is a general document question; safe to respond without adjudicating coverage. Policy status indicates a pending payment is blocking confirmation, which can be mentioned cautiously as an account-status note.","Subject: Re: Travel medical issue

Hello,

Thank you for your message. For a travel medical claim related to a clinic visit, please ask the doctor or clinic to provide:

- A medical report or consultation note describing the injury or illness
- The date of treatment
- The diagnosis and any treatment provided
- Itemized invoices or receipts showing the amount charged and proof of payment if available
- Any prescription details, if medication was prescribed

Please also keep copies of any travel-related documents, such as your itinerary or proof of travel, in case they are requested.

I can also note that your policy currently has a pending payment status, which may need to be resolved before any confirmation can be completed.

If you’d like, you can send the documents once you have them and we can review the next steps.

Kind regards,
Insurance Support",
insurance-email-033,Need help with direct debit,"Hi, my auto insurance direct debit date is not suitable anymore. Policy AUT-220507. Can you change it to the 15th of each month? Thanks.",auto,policy_change,medium,AUT-220507,,escalate_to_human,"Policy found, but the request is a billing/direct debit change and the record shows renewal payment pending confirmation, which requires human review before any change is made.",,"Customer requests a direct debit date change for auto policy AUT-220507. Policy is found, but renewal payment is pending confirmation. Please verify whether the payment status affects any direct debit amendment and respond to the customer accordingly."
insurance-email-034,Water damage claim,"Good afternoon, a pipe burst under my kitchen sink and there is water damage to the cabinets. I want to start a home claim. Policy HMO-993210.",home,claim_opening,high,HMO-993210,,reply_to_client,"Policy was found and is active; the customer is requesting to start a home claim, which can be handled without additional claim record lookup.","Subject: Re: Water damage claim

Good afternoon,

Thank you for contacting us. I can confirm that your home policy is active.

I’m sorry to hear about the water damage from the pipe burst under your kitchen sink. To begin the claim process, please reply with a brief description of the damage, the date it occurred, and any photos or other documentation you may have. If any immediate steps were taken to prevent further damage, please include those as well.

Once we receive the details, we can help you move forward with your claim.

Best regards,
Customer Service",
insurance-email-035,Can I pay by bank transfer?,"Hello, I usually pay for my travel insurance by card, but this month I would rather use bank transfer. Policy TRV-300118. Is that allowed?",travel,payment_information,medium,TRV-300118,,escalate_to_human,"Policy record was found, but the available data does not include payment method rules, so the request cannot be answered safely and completely.",,Please verify the policy’s accepted payment methods for TRV-300118 and advise the customer whether bank transfer is allowed.
insurance-email-036,Documents for car claim,"Dear claims team, I have the police report and repair estimate for claim AUT-667901. Where should I send them? I already submitted the initial notice.",auto,document_submission,medium,,AUT-667901,reply_to_client,Claim record found and the request is a straightforward document-submission routing question; no sensitive decision is needed.,"Dear Customer,

Thank you for reaching out. For claim AUT-667901, please send the police report and repair estimate by replying to this email and attaching the documents, or upload them through your claim portal if that option is available to you.

Please include the claim number in your message or upload so the documents can be matched to your file. If you have any trouble submitting them, let us know and we will help.

Kind regards,
Claims Team",
insurance-email-037,Policy certificate needed today,"Hi, I need my home insurance certificate urgently for my landlord. Policy HMO-188230. Please send it as soon as you can.",home,document_request,high,HMO-188230,,reply_to_client,Policy record found and contains sufficient information to answer the certificate request safely.,"Subject: Re: Policy certificate needed today

Hello,

I checked policy HMO-188230 and found that it is cancelled and no longer valid. Because of this, we are unable to provide a valid insurance certificate for this policy.

If you need help with anything else, please let us know.

Kind regards,
Insurance Support",
insurance-email-038,Wrong vehicle registration,"Hello, I noticed the registration number on my auto policy is wrong. Policy AUT-775310. The correct plate should be FJ12 KLM, not the one listed.",auto,policy_change,medium,AUT-775310,,escalate_to_human,"Customer requests a policy change to correct vehicle registration details; the policy record confirms the policy exists and is active, but the provided data does not include the current registration value or authority to make the change safely.",,Please verify the policyholder identity and update the vehicle registration on policy AUT-775310 from the currently listed plate to FJ12 KLM if appropriate. Current plate value is not provided in the record.
insurance-email-039,Trip cancellation question,"Dear support, my holiday may be cancelled because of a family emergency. If that happens, can I claim on my travel insurance? Policy TRV-611004. I am not sure yet.",travel,policy_information,medium,TRV-611004,,escalate_to_human,"Policy number provided, but the policy record was not found, so I cannot safely answer coverage questions.",,Customer is asking whether trip cancellation due to a family emergency would be covered under policy TRV-611004. Policy lookup returned not found. Please verify the policy number or locate the correct policy before responding.
insurance-email-040,Home claim estimate,"Hi, I have a home claim for a broken window after a break-in. Claim HCL-778811. Has the repair estimate been approved? I need to arrange the work soon.",home,claim_status,high,,HCL-778811,reply_to_client,Claim record found and status information is sufficient to answer the customer’s question safely.,"Subject: Re: Home claim estimate

Hello,

Thank you for your message. I checked claim HCL-778811, and the approved handling steps are complete and payment processing is underway.

If you need to arrange the repair work soon, you may wish to proceed based on that status. If you have any additional documents or questions about the claim, please let us know.

Kind regards,
Insurance Support",
insurance-email-041,Need to speak to someone,"Hello, I have been trying to reach your team about my car insurance but keep getting stuck in the automated phone system. Policy AUT-118776. Please call me back.",auto,other,medium,AUT-118776,,reply_to_client,Policy record found and the request is a callback request with no disputed coverage or claim issue; safe to respond with the verified policy status and advise on next steps.,"Subject: Re: Need to speak to someone

Hello,

Thank you for reaching out. I was able to locate policy AUT-118776, and it is currently cancelled and no longer active.

If you would like to discuss this policy or review available options, please reply to this email and we can help direct your request to the appropriate team.

Kind regards,
Customer Care",
insurance-email-042,Travel insurance for ski trip,"Good morning, does my travel policy include winter sports? I am going skiing next month. Policy TRV-904512. If not, how do I add it?",travel,policy_information,medium,TRV-904512,,escalate_to_human,"Policy record found but it is cancelled; the customer is asking about coverage and adding winter sports, which requires human verification and likely explanation of current policy status/options.",,Policy TRV-904512 is cancelled in the system. Please verify whether the customer has an active replacement policy or if they need guidance on reinstatement/new coverage and winter sports eligibility before responding.
insurance-email-043,Claim payment question,"Dear team, I received the settlement for my auto claim but I do not understand how it was calculated. Claim number CLM-559870. Could you break it down for me?",auto,claim_status,medium,,CLM-559870,escalate_to_human,"Claim record was not found for the provided claim number, so the payment calculation cannot be explained safely.",,"Customer is asking for a breakdown of a settlement for claim CLM-559870. The claim lookup returned not found, so please verify the claim number and locate the correct claim record before responding."
insurance-email-044,Update my email address,"Hi, please change the email on file for my home insurance account to a new one. Policy HMO-620194. I will use this address from now on.",home,policy_change,medium,HMO-620194,,escalate_to_human,"Policy identified, but the customer is requesting a policy change that cannot be completed from the email alone and requires verification before updating contact information.",,Customer requests an email address change for active home policy HMO-620194. Please verify identity and update the policy contact email if authorized.
insurance-email-045,Late premium notice,"Hello, I received a late payment notice for my travel policy, but I already paid it last week. Policy TRV-407731. Can you check this please?",travel,payment_information,medium,TRV-407731,,reply_to_client,Policy record found and contains enough information to explain the late notice safely.,"Dear Customer,

Thank you for your message regarding policy TRV-407731.

I checked the policy record, and the renewal payment is currently marked as pending processing. If you made the payment last week, it may still be clearing through the payment system.

Please allow a little more time for the payment to be fully processed. If the notice remains after that, please contact us again so we can review it further.

Kind regards,
Customer Service",
insurance-email-046,Claim for stolen luggage,"Good evening, I returned from a trip and my suitcase was stolen at the airport. I need to open a claim. Travel policy TRV-992103. I have the incident reference.",travel,claim_opening,high,TRV-992103,,reply_to_client,"Policy TRV-992103 was found and is active travel cover, sufficient to acknowledge the request and explain next steps for opening a claim.","Subject: Re: Claim for stolen luggage

Good evening,

Thank you for contacting us. We can confirm that your travel policy TRV-992103 is active.

To open a claim for the stolen suitcase, please reply with the incident reference and any supporting details you have, such as:
- the date and time of the incident
- the airport location
- a brief description of what was stolen
- any police or airport report details, if available
- proof of purchase for the luggage and/or contents, if available

Once we receive the incident reference and supporting information, we can help with the next steps.

Kind regards,
Customer Service",
insurance-email-047,Home insurance for basement room,"Dear insurer, I rent out a room in my basement sometimes. Does my current home policy cover this situation? Policy HMO-311905. I am not sure if I need to tell you.",home,policy_information,medium,HMO-311905,,reply_to_client,Policy record found and the question can be answered safely at a high level using the available policy status.,"Dear Customer,

Thank you for your email. I checked policy HMO-311905 and it is currently expired and requires renewal.

Because the policy is not active, I’m not able to confirm coverage for renting out a basement room under this policy as it stands. If you would like, please renew the policy and then review the arrangement with us so we can confirm whether any updates or additional details are needed.

Kind regards,
Customer Service",
insurance-email-048,Need a copy of my last statement,"Hello, can you send me the last statement for my auto policy? Number AUT-500889. I need it for my files.",auto,document_request,low,AUT-500889,,reply_to_client,Policy was found and the request is a straightforward document inquiry; sufficient information is available to respond safely without internal escalation.,"Subject: Re: Need a copy of my last statement

Hello,

Thank you for your request. We found your auto policy, AUT-500889. Your policy is currently cancelled, and it was cancelled after the last billing cycle.

If you would like a copy of your last statement for your records, please let us know and we can help direct you to the appropriate next step.

Best regards,
Insurance Services",
insurance-email-049,Claim still under review,"Hi, my home claim CLM-845221 has been listed as under review for several days. Is there anything missing from my side? I uploaded the pictures already.",home,claim_status,medium,,CLM-845221,reply_to_client,Claim record found and status details are sufficient to answer the customer’s question safely.,"Subject: Re: Claim still under review

Hello,

Thank you for reaching out. I checked claim CLM-845221, and the record shows that it has already been closed after handling was completed.

If you believe there is still an outstanding issue or you need help understanding the outcome, please reply with the details and we can look into it further.

Best regards,
Claims Support",
insurance-email-050,Travel insurance for extra days,"Dear team, my trip got extended by three days and I want to make sure the travel cover still applies. Policy TRV-254811. Please confirm.",travel,policy_information,medium,TRV-254811,,reply_to_client,Policy found and active; the customer is asking a straightforward policy-information question that can be answered from the record.,"Dear Customer,

Thank you for your email. I can confirm that policy TRV-254811 is active and travel cover is on file.

If your trip has been extended by three days, please review your policy terms to confirm whether the additional days are covered under your current travel insurance arrangement.

If you need any further assistance, please let us know.

Kind regards,
Customer Service",
insurance-email-051,Broken windshield claim,"Hello, a rock hit my windshield on the highway and it cracked badly. I need to file an auto claim. Policy AUT-739105. Is this covered with my excess?",auto,claim_opening,high,AUT-739105,,escalate_to_human,Policy found but is expired; coverage and excess questions for this claim-opening request require manual review.,,Customer wants to open an auto claim for windshield damage and asks whether it is covered with their excess. Policy AUT-739105 was found but is expired. Please verify whether any post-expiry coverage applies and advise the customer on next steps for claim filing.
insurance-email-052,Need change in occupants,"Hi, two people moved out of my home and one moved in. Do I need to tell you for my home insurance? Policy HMO-908112. I don't want any problems later.",home,policy_change,medium,HMO-908112,,reply_to_client,Policy record found and the customer is asking a general policy-change question that can be answered safely without making any coverage commitments.,"Subject: Re: Need change in occupants

Hello,

Thank you for your message. If the people living in your home have changed, it is important to let us know about the updated occupants as soon as possible. Changes in who lives at the property can affect your policy details, so reporting it helps keep your information accurate and avoids issues later.

Please reply with the names of the people who moved out and the new occupant who moved in, and we’ll help update your records.

Kind regards,
Customer Care",
insurance-email-053,Travel claim receipt sent,"Good day, I sent the taxi receipts for claim TRC-440918 but I am not sure if they arrived. Could you confirm receipt? Thanks.",travel,document_submission,medium,,TRC-440918,reply_to_client,Claim record found and the customer only asks to confirm receipt/status of submitted documents; no sensitive decision is required.,"Subject: Re: Travel claim receipt sent

Good day,

Thank you for your email. I can confirm that claim TRC-440918 is on record and is currently under assessment.

Please note that I’m unable to confirm the status of specific document deliveries from here, but your claim is active and being reviewed. If any additional information is needed, you will be contacted.

Kind regards,
Customer Support",
insurance-email-054,Auto insurance renewal query,"Dear support, my auto renewal is coming up soon and I want to know if the premium can be paid monthly instead of all at once. Policy AUT-992450.",auto,payment_information,medium,AUT-992450,,escalate_to_human,"Policy lookup failed for the provided policy number, so the premium payment options cannot be verified safely.",,Customer asks whether auto renewal premium can be paid monthly instead of annually for policy AUT-992450. Policy record was not found; please verify the policy number and confirm available payment frequency options before responding.
insurance-email-055,Need proof of no claims,"Hello, I am switching cars and need proof of no claims for my current policy. AUT-314208. Could you send the document by email?",auto,document_request,medium,AUT-314208,,escalate_to_human,"Policy found, but status indicates payment pending and the request is for proof of no claims, which may require manual verification before issuing any document.",,Customer requests proof of no claims for auto policy AUT-314208. Policy is found but status is payment_pending; please verify eligibility and whether the requested document can be issued by email.
insurance-email-056,Home claim for electrical fault,"Hi, there was an electrical fault in my living room and the lights stopped working. I am not sure if this is a claim or just a question. Policy HMO-113490. Please advise.",home,claim_opening,medium,HMO-113490,,escalate_to_human,"Customer is unsure whether this is a claim or a question, and the email requests advice on a potentially claim-related home electrical issue. Policy record found, but the case requires human review before responding safely.",,"Policy HMO-113490 was found and is marked payment_pending. Customer reports an electrical fault in the living room and is unsure whether to open a claim. Please review the situation, confirm coverage guidance, and advise whether a claim should be opened."
