id,subject,body,insurance_type,intent,priority,sentiment,summary,policy_number,claim_number,missing_information,requires_human_review,human_review_reason,confidence
insurance-email-016,Update my phone number,"Dear team, please update the contact number on my home insurance account. Policy HMO-293018. My new mobile is 555-0148. Thank you.",home,policy_change,medium,neutral,Customer requests an update to the phone number on a home insurance policy and provides the new mobile number.,HMO-293018,,[],False,,0.98
insurance-email-017,Travel delay reimbursement,"Hello, my flight was delayed for over 10 hours and I had to pay for a hotel. Can I submit this under my travel insurance? Policy TRV-100447. I have the receipts.",travel,claim_opening,medium,neutral,Customer asks whether hotel expenses from a flight delay can be submitted under their travel insurance and provides policy TRV-100447 with receipts available.,TRV-100447,,"[""Date of travel/incident"", ""Flight details"", ""Amount being claimed"", ""Any claim form or incident reference if required""]",False,,0.98
insurance-email-018,Question about no claim discount,"Hi, I want to know whether my no claim discount is still intact on my car insurance. Policy AUT-781205. I had a windscreen repair last year, if that matters.",auto,policy_information,medium,neutral,Customer asks whether their no claim discount is still intact on their car insurance policy after a previous windscreen repair.,AUT-781205,,"[""Whether the windscreen repair affected the no claim discount under the policy terms""]",False,,0.95
insurance-email-019,Claim documents uploaded,"Good day, I uploaded all the documents for claim CLM-332119 yesterday, but the portal still shows pending. Could you confirm if they were received? It was for a stolen bicycle from my garage.",home,document_submission,medium,neutral,Customer says they uploaded documents for claim CLM-332119 and wants confirmation that they were received; the claim relates to a stolen bicycle from the garage.,,CLM-332119,[],False,,0.95
insurance-email-020,Need policy start date,"Hello, can you tell me the exact start date of my travel policy? I only have the reference TRV-665408 and need it for a visa appointment. Thanks.",travel,policy_information,medium,neutral,Customer asks for the exact start date of their travel policy for a visa appointment and provides reference TRV-665408.,TRV-665408,,"[""Full policy details or account verification may be needed to confirm the start date.""]",False,,0.98
insurance-email-021,Home insurance for a rental property,"Dear insurance team, I own a rental flat and need to know if my current home policy covers it or if I need a different one. Policy HMO-830115. Please advise.",home,policy_information,medium,neutral,Customer asks whether their current home policy covers a rental flat or whether a different policy is needed.,HMO-830115,,[],False,,0.98
insurance-email-022,Auto accident on Saturday,"Hi, I had a small accident on Saturday and want to report it. Nobody was injured, but my front bumper is damaged. My policy number is AUT-490772. What should I do next?",auto,claim_opening,high,neutral,Customer wants to report a minor auto accident with front bumper damage and asks what to do next.,AUT-490772,,"[""date and time of the accident"", ""location of the accident"", ""details of any other vehicle or third party involved"", ""photos or repair estimate if available""]",False,,0.98
insurance-email-023,Travel policy for my son,"Hello, I bought a family travel policy and I am not sure whether my 16-year-old son is covered for the whole trip. Policy TRV-218344. Please confirm.",travel,policy_information,medium,neutral,Customer asks whether their 16-year-old son is covered for the full trip under family travel policy TRV-218344.,TRV-218344,,"[""The specific coverage terms or age conditions needed to confirm the son's eligibility are not provided in the email.""]",False,,0.96
insurance-email-024,Incorrect premium amount,"Dear support, my latest auto insurance payment request shows a different amount than my last statement. Policy AUT-603991. Could you explain the difference? I don't think I changed anything.",auto,payment_information,medium,negative,Customer says the latest auto insurance payment request shows a different amount than the last statement and asks for an explanation. Policy AUT-603991.,AUT-603991,,"[""Details of what changed between the two amounts"", ""Copies of the latest payment request and last statement if a comparison is needed""]",False,,0.96
insurance-email-025,Claim status please,"Hi, I filed a home claim after my ceiling started leaking. Claim number HCL-119804. Can you tell me if someone has been assigned yet? I haven't received any calls.",home,claim_status,medium,neutral,Customer is asking for an update on a home claim for a leaking ceiling and wants to know whether an adjuster has been assigned.,,HCL-119804,"[""Claim assignment status details are not provided in the email and must be checked in the claims system.""]",False,,0.98
insurance-email-026,Need to change my cover start date,"Hello, I need to move the start date of my travel insurance by one week because my departure changed. Policy TRV-477201. Please let me know if that is possible.",travel,policy_change,medium,neutral,Customer wants to move the start date of their travel insurance policy by one week because their departure date changed.,TRV-477201,,"[""New desired start date""]",False,,0.98
insurance-email-027,Damage to side mirror,"Good morning, my car's side mirror was broken in a parking lot. I want to open a claim under policy AUT-115933. The car is still drivable.",auto,claim_opening,high,neutral,Customer reports a broken car side mirror in a parking lot and wants to open a claim under policy AUT-115933.,AUT-115933,,"[""Date and time of the incident"", ""Location of the parking lot"", ""Details of how the damage occurred"", ""Photos or repair estimate, if available""]",False,,0.98
insurance-email-028,Policy wording request,"Dear all, could you send me the full wording for my home insurance policy? Number HMO-551809. I need to check the escape of water section.",home,document_request,medium,neutral,Customer requests the full wording for their home insurance policy and wants to check the escape of water section.,HMO-551809,,[],False,,0.98
insurance-email-029,Refund after cancellation,"Hello, I cancelled my travel policy a few days ago but have not seen the refund yet. Policy TRV-229601. Can you tell me when it will be processed?",travel,payment_information,medium,neutral,"Customer says their travel policy was cancelled a few days ago and they have not yet received the refund, and asks when it will be processed.",TRV-229601,,"[""Cancellation date"", ""Refund amount"", ""Method of payment/refund destination""]",False,,0.98
insurance-email-030,Urgent: claim not progressing,"Hi, this is taking way too long. My auto claim CLM-771044 was opened nearly two weeks ago and I still don't know what's happening. Please respond today if possible.",auto,claim_status,high,angry,"Customer says their auto claim CLM-771044 was opened nearly two weeks ago and is not progressing, and requests a response today.",,CLM-771044,[],False,,0.98
insurance-email-031,Change beneficiary on policy,"Dear team, I would like to update the beneficiary contact on my home insurance records. Policy HMO-404512. Please tell me the next step, as I can't find the form.",home,policy_change,medium,neutral,Customer wants to update the beneficiary contact on a home insurance policy and asks for the next step because they cannot find the form.,HMO-404512,,"[""The specific beneficiary contact details to be updated are not provided."", ""The customer has not confirmed whether they want the form sent or whether the change can be handled another way.""]",False,,0.95
insurance-email-032,Travel medical issue,"Hello, while abroad I had to visit a clinic after twisting my ankle. I believe my travel insurance may cover this. Policy TRV-875390. What documents do you need from the doctor?",travel,document_request,medium,neutral,Customer was treated at a clinic abroad after twisting an ankle and is asking what doctor documents are needed for travel insurance coverage. Policy TRV-875390.,TRV-875390,,"[""The specific doctor/medical documents they can provide"", ""Date and location of the medical visit""]",False,,0.93
insurance-email-033,Need help with direct debit,"Hi, my auto insurance direct debit date is not suitable anymore. Policy AUT-220507. Can you change it to the 15th of each month? Thanks.",auto,policy_change,medium,neutral,Customer requests a change to the direct debit date for an auto insurance policy to the 15th of each month.,AUT-220507,,[],False,,0.98
insurance-email-034,Water damage claim,"Good afternoon, a pipe burst under my kitchen sink and there is water damage to the cabinets. I want to start a home claim. Policy HMO-993210.",home,claim_opening,high,neutral,Customer reports a burst pipe under the kitchen sink causing water damage to cabinets and wants to start a home claim.,HMO-993210,,"[""Date and time of the incident"", ""Extent of the damage"", ""Whether immediate repairs or mitigation have been arranged"", ""Contact details for follow-up""]",False,,0.98
insurance-email-035,Can I pay by bank transfer?,"Hello, I usually pay for my travel insurance by card, but this month I would rather use bank transfer. Policy TRV-300118. Is that allowed?",travel,payment_information,medium,neutral,The customer asks whether they can switch their travel insurance payment method from card to bank transfer for policy TRV-300118.,TRV-300118,,"[""Whether bank transfer is an accepted payment method for this policy and how to make the change if so.""]",False,,0.98
insurance-email-036,Documents for car claim,"Dear claims team, I have the police report and repair estimate for claim AUT-667901. Where should I send them? I already submitted the initial notice.",auto,document_submission,medium,neutral,Customer has a police report and repair estimate for auto claim AUT-667901 and is asking where to send the documents.,,AUT-667901,"[""Preferred submission method or email/address for the documents""]",False,,0.98
insurance-email-037,Policy certificate needed today,"Hi, I need my home insurance certificate urgently for my landlord. Policy HMO-188230. Please send it as soon as you can.",home,document_request,high,neutral,Customer requests their home insurance certificate urgently for their landlord and provides policy HMO-188230.,HMO-188230,,[],False,,0.98
insurance-email-038,Wrong vehicle registration,"Hello, I noticed the registration number on my auto policy is wrong. Policy AUT-775310. The correct plate should be FJ12 KLM, not the one listed.",auto,policy_change,medium,neutral,Customer says the vehicle registration number on auto policy AUT-775310 is incorrect and provides the correct plate number FJ12 KLM.,AUT-775310,,"[""Confirmation of the current registration number on the policy if it needs to be replaced""]",False,,0.98
insurance-email-039,Trip cancellation question,"Dear support, my holiday may be cancelled because of a family emergency. If that happens, can I claim on my travel insurance? Policy TRV-611004. I am not sure yet.",travel,policy_information,medium,neutral,Customer asks whether a possible trip cancellation due to a family emergency would be covered under their travel insurance policy TRV-611004.,TRV-611004,,"[""Whether the trip has been cancelled"", ""Details of the family emergency"", ""Trip dates and cancellation circumstances if they want a coverage assessment""]",False,,0.94
insurance-email-040,Home claim estimate,"Hi, I have a home claim for a broken window after a break-in. Claim HCL-778811. Has the repair estimate been approved? I need to arrange the work soon.",home,claim_status,high,neutral,Customer asks for an update on approval of a repair estimate for a home claim involving a broken window after a break-in.,,HCL-778811,"[""Any claim decision details or current status from the insurer""]",False,,0.98
insurance-email-041,Need to speak to someone,"Hello, I have been trying to reach your team about my car insurance but keep getting stuck in the automated phone system. Policy AUT-118776. Please call me back.",auto,other,medium,negative,Customer wants a callback regarding their car insurance and is having trouble reaching the team through the automated phone system. Policy AUT-118776 is provided.,AUT-118776,,"[""Best callback number"", ""Preferred time to call""]",False,,0.92
insurance-email-042,Travel insurance for ski trip,"Good morning, does my travel policy include winter sports? I am going skiing next month. Policy TRV-904512. If not, how do I add it?",travel,policy_information,medium,neutral,Customer asks whether their travel policy covers winter sports for an upcoming ski trip and how to add the cover if it is not included.,TRV-904512,,"[""Whether winter sports cover is currently included"", ""Details of the desired policy change if cover needs to be added""]",False,,0.97
insurance-email-043,Claim payment question,"Dear team, I received the settlement for my auto claim but I do not understand how it was calculated. Claim number CLM-559870. Could you break it down for me?",auto,claim_status,medium,neutral,Customer received an auto claim settlement and is asking for an explanation of how the payment was calculated for claim CLM-559870.,,CLM-559870,[],True,"The customer is questioning the claim settlement calculation, which may involve a dispute or explanation of a claims decision and should be reviewed by a human.",0.91
insurance-email-044,Update my email address,"Hi, please change the email on file for my home insurance account to a new one. Policy HMO-620194. I will use this address from now on.",home,policy_change,medium,neutral,Customer requests an update to the email address on their home insurance account for policy HMO-620194.,HMO-620194,,"[""New email address to replace the current one""]",False,,0.98
insurance-email-045,Late premium notice,"Hello, I received a late payment notice for my travel policy, but I already paid it last week. Policy TRV-407731. Can you check this please?",travel,payment_information,medium,neutral,Customer says they received a late payment notice for their travel policy despite paying last week and asks for it to be checked.,TRV-407731,,"[""Proof of payment or payment reference"", ""Date and method of payment""]",False,,0.97
insurance-email-046,Claim for stolen luggage,"Good evening, I returned from a trip and my suitcase was stolen at the airport. I need to open a claim. Travel policy TRV-992103. I have the incident reference.",travel,claim_opening,high,negative,Customer reports that a suitcase was stolen at the airport after a trip and wants to open a travel claim.,TRV-992103,,"[""incident reference number""]",False,,0.98
insurance-email-047,Home insurance for basement room,"Dear insurer, I rent out a room in my basement sometimes. Does my current home policy cover this situation? Policy HMO-311905. I am not sure if I need to tell you.",home,policy_information,medium,neutral,Customer asks whether their current home policy covers renting out a basement room and whether they need to notify the insurer. Policy HMO-311905 is provided.,HMO-311905,,"[""Whether the basement room is rented as a short-term or long-term arrangement"", ""Details of any changes to the property occupancy or use""]",False,,0.93
insurance-email-048,Need a copy of my last statement,"Hello, can you send me the last statement for my auto policy? Number AUT-500889. I need it for my files.",auto,document_request,low,neutral,Customer requests a copy of the last statement for their auto policy for filing purposes.,AUT-500889,,[],False,,0.98
insurance-email-049,Claim still under review,"Hi, my home claim CLM-845221 has been listed as under review for several days. Is there anything missing from my side? I uploaded the pictures already.",home,claim_status,medium,neutral,"Customer asks for an update on home claim CLM-845221, which has been under review for several days, and wants to know if anything is still missing after uploading pictures.",,CLM-845221,"[""Current claim status and whether any additional documents or information are needed""]",False,,0.97
insurance-email-050,Travel insurance for extra days,"Dear team, my trip got extended by three days and I want to make sure the travel cover still applies. Policy TRV-254811. Please confirm.",travel,policy_information,medium,neutral,Customer says their trip has been extended by three days and asks whether their travel cover still applies for the extended period. Policy TRV-254811.,TRV-254811,,"[""Confirmation of whether cover can be extended to the additional three days"", ""Any required details about the revised return date or trip extension if needed""]",False,,0.96
insurance-email-051,Broken windshield claim,"Hello, a rock hit my windshield on the highway and it cracked badly. I need to file an auto claim. Policy AUT-739105. Is this covered with my excess?",auto,claim_opening,high,neutral,"Customer reports a cracked windshield from a rock on the highway, asks to file an auto claim, and wants to know if it is covered with their excess.",AUT-739105,,"[""Date and time of the incident"", ""Location of the incident"", ""Vehicle details"", ""Whether the windshield has been repaired or is still damaged""]",False,,0.97
insurance-email-052,Need change in occupants,"Hi, two people moved out of my home and one moved in. Do I need to tell you for my home insurance? Policy HMO-908112. I don't want any problems later.",home,policy_change,medium,neutral,"Customer says two people moved out and one moved in, and asks whether this needs to be reported for their home insurance policy.",HMO-908112,,"[""The names or details of the new and former occupants if a policy update is required.""]",False,,0.98
insurance-email-053,Travel claim receipt sent,"Good day, I sent the taxi receipts for claim TRC-440918 but I am not sure if they arrived. Could you confirm receipt? Thanks.",travel,document_submission,medium,neutral,Customer says they sent taxi receipts for claim TRC-440918 and wants confirmation that the documents were received.,,TRC-440918,[],False,,0.98
insurance-email-054,Auto insurance renewal query,"Dear support, my auto renewal is coming up soon and I want to know if the premium can be paid monthly instead of all at once. Policy AUT-992450.",auto,payment_information,medium,neutral,Customer asks whether an auto insurance renewal premium can be paid monthly instead of in one lump sum for policy AUT-992450.,AUT-992450,,"[""Whether monthly payment instalments are available for this policy"", ""Any required billing or payment setup details if instalments are offered""]",False,,0.97
insurance-email-055,Need proof of no claims,"Hello, I am switching cars and need proof of no claims for my current policy. AUT-314208. Could you send the document by email?",auto,document_request,medium,neutral,Customer is switching cars and requests proof of no claims for current auto policy to be emailed.,AUT-314208,,[],False,,0.98
insurance-email-056,Home claim for electrical fault,"Hi, there was an electrical fault in my living room and the lights stopped working. I am not sure if this is a claim or just a question. Policy HMO-113490. Please advise.",home,claim_opening,medium,neutral,Customer reports an electrical fault in the living room that caused the lights to stop working and asks whether it should be treated as a claim. Policy number HMO-113490 is provided.,HMO-113490,,"[""Whether the customer wants to open a claim or only ask a policy question"", ""Date and circumstances of the electrical fault"", ""Any photos or repair estimates, if a claim is to be opened""]",True,"The customer is unsure whether this is a claim or a question, making the request somewhat ambiguous and requiring adviser confirmation.",0.84
insurance-email-057,Travel policy not showing,"Good morning, I bought travel insurance online but I can't find the policy in my account. I only have the reference TRV-880261. Can you help?",travel,policy_information,medium,neutral,Customer bought travel insurance online and cannot find the policy in their account. They provided reference TRV-880261 and asked for help.,TRV-880261,,"[""Account details needed to locate the policy"", ""Confirmation of the policyholder name if different from the account name""]",False,,0.94
insurance-email-058,Please check my claim number,"Dear team, I think I wrote my claim number incorrectly on the form. It should be CLM-220774, or maybe CLM-220775. Could you check which one is active?",unknown,claim_status,medium,neutral,Customer asks to verify which of two claim numbers is active because they may have written the claim number incorrectly on a form.,,CLM-220774,"[""The correct claim number needs confirmation if CLM-220774 is not the active one."", ""Policy number, if needed to locate the claim.""]",False,,0.89
insurance-email-059,Change vehicle on policy,"Hi, I sold my old car and bought another one. I need to change the vehicle details on policy AUT-644901. Please tell me what information you require.",auto,policy_change,medium,neutral,"Customer sold their old car and bought another one, and wants to change the vehicle details on policy AUT-644901.",AUT-644901,,"[""New vehicle details (make, model, year, registration number)""]",False,,0.98
insurance-email-060,Holiday cancellation evidence,"Hello, I had to cancel my trip due to a last-minute medical issue. I need to send proof for my travel claim. Policy TRV-715309. Where should I upload the doctor note?",travel,document_submission,high,neutral,Customer cancelled a trip due to a last-minute medical issue and wants to submit a doctor note as proof for travel claim TRV-715309.,TRV-715309,,"[""The upload destination or submission method for the doctor note""]",True,"The request involves a medical issue and document submission for a travel claim, which may require manual handling.",0.98
insurance-email-061,Home policy renewal question,"Dear insurance company, my home policy is due soon and I want to know if I can keep the same cover without increasing the sum insured. Policy HMO-470128.",home,policy_information,medium,neutral,Customer asks whether their home policy can be renewed with the same cover and without increasing the sum insured. Policy HMO-470128 provided.,HMO-470128,,[],False,,0.95
insurance-email-062,Claim call back request,"Hi, I opened a claim for damage to my garage door after strong wind. Claim HCL-900517. Could someone call me back? I missed a message from your team.",home,claim_status,medium,neutral,Customer says they opened a claim for garage door damage after strong wind and requests a callback after missing a message from the team.,,HCL-900517,"[""Preferred callback phone number"", ""Best time to call""]",False,,0.96
insurance-email-063,Travel cover for electronics,"Hello, does my travel insurance cover my laptop if it is damaged on the trip? Policy TRV-622847. I may take it with me for work.",travel,policy_information,medium,neutral,Customer asks whether their travel insurance covers a laptop if it is damaged during a trip.,TRV-622847,,"[""Specific coverage terms for electronics/laptop damage"", ""Details of the trip and how the damage might occur""]",False,,0.98
insurance-email-064,Payment schedule needed,"Good afternoon, I would like to change my auto insurance payments from annual to quarterly. Policy AUT-107664. Is that possible for my account?",auto,policy_change,medium,neutral,Customer wants to change auto insurance payment frequency from annual to quarterly for policy AUT-107664.,AUT-107664,,[],False,,0.98
insurance-email-065,Claim estimate too low,"Dear claims team, I do not agree with the repair estimate for my car claim CLM-551933. It seems much too low compared with the garage quote I received.",auto,complaint,high,angry,"Customer disputes the repair estimate on car claim CLM-551933, saying it is much lower than the garage quote.",,CLM-551933,"[""The garage quote amount is not provided."", ""The customer does not state what resolution they want (review, revised estimate, or settlement appeal).""]",True,"Customer is disputing a claim estimate, which is a complaint and requires human review.",0.96
insurance-email-066,Need house inventory advice,"Hello, I am updating my home contents list and want to know if I should send it to you. Policy HMO-276501. Not sure if it is needed.",home,document_submission,medium,neutral,Customer is updating their home contents inventory list and asks whether it should be sent in for policy HMO-276501.,HMO-276501,,[],False,,0.96
insurance-email-067,Travel insurance extension,"Hi, I may stay abroad longer than expected and need to extend my travel policy by one more week. Policy TRV-119803. Can this be done?",travel,policy_change,medium,neutral,Customer wants to extend their travel insurance policy by one more week because their stay abroad may be longer than expected.,TRV-119803,,"[""New return date or extension period details if different from one week"", ""Whether the customer wants the extension to start immediately or from a specific date""]",False,,0.96
insurance-email-068,Auto claim after hailstorm,"Good day, my car got dented during a hailstorm last night. I want to report the damage. Policy AUT-832114. There are several dents on the roof and hood.",auto,claim_opening,high,neutral,Customer is reporting hail damage to a car and wants to open a claim. Policy AUT-832114 is provided.,AUT-832114,,"[""Date and time of the incident"", ""Location of the incident"", ""Whether the vehicle is drivable"", ""Contact details for follow-up""]",False,,0.98
insurance-email-069,Need confirmation of cover,"Hello, I am about to rent a car on holiday and want to know if my travel policy includes rental excess cover. Policy TRV-500271. Please confirm.",travel,policy_information,medium,neutral,Customer asks whether their travel policy includes rental excess cover for a car rental on holiday.,TRV-500271,,[],False,,0.96
insurance-email-070,Policy questions about vacant home,"Dear team, my house will be empty for about two months while I work overseas. Does my home policy still cover it? Policy HMO-883190. I can give more details if needed.",home,policy_information,medium,neutral,Customer asks whether their home policy still provides cover while their house is vacant for about two months during overseas work.,HMO-883190,,"[""Whether the policy has any vacancy limits or requirements"", ""Any details about the length of vacancy and security arrangements, if needed for assessment""]",False,,0.96
insurance-email-071,Claim progress after inspection,"Hi, an inspector visited my apartment for claim CLM-774205 last week. Can you tell me what the next step is? I have not heard anything since then.",home,claim_status,medium,neutral,Customer asks for the next step and an update on claim CLM-774205 after an apartment inspection last week.,,CLM-774205,[],False,,0.98
insurance-email-072,Update payment card,"Hello, my card expired and I need to update the payment details for my auto insurance. Policy AUT-690123. Please let me know how to do this.",auto,policy_change,medium,neutral,Customer wants to update expired payment card details for an auto insurance policy.,AUT-690123,,"[""New payment card details or confirmation of the preferred update method""]",False,,0.98
insurance-email-073,Travel policy for business trip,"Dear support, I bought travel insurance for a leisure trip, but now the trip is for business instead. Is my policy still valid? Reference TRV-221608.",travel,policy_information,medium,neutral,Customer asks whether their travel insurance remains valid after a leisure trip changed to a business trip.,TRV-221608,,"[""Confirmation of whether business travel is covered under the policy terms"", ""Details of the original trip dates and destination if needed to assess coverage""]",False,,0.94
insurance-email-074,Broken pipe and ceiling stain,"Hi, I found water stains on my ceiling after a pipe problem upstairs. I want to start a home claim if possible. Policy HMO-415902.",home,claim_opening,high,neutral,Customer reports water stains on the ceiling after a pipe problem upstairs and wants to start a home claim. Policy HMO-415902 is provided.,HMO-415902,,"[""Date of loss/incident"", ""Extent of the damage"", ""Whether the pipe problem has been fixed or is ongoing"", ""Contact details for follow-up""]",False,,0.98
insurance-email-075,Request for duplicate letter,"Hello, I need a duplicate letter showing my auto insurance is active. Policy AUT-333801. Could you send it by email today?",auto,document_request,high,neutral,Customer requests a duplicate letter confirming active auto insurance coverage to be sent by email today.,AUT-333801,,[],False,,0.98
insurance-email-076,Claim number missing from email,"Dear team, I got an email about my travel claim but the claim number was blank. I think it relates to my luggage delay. Policy TRV-704119. Can you resend it?",travel,document_request,medium,neutral,"Customer says they received an email about a travel claim but the claim number was blank, believes it concerns a luggage delay, and asks for it to be resent. Policy TRV-704119 is provided.",TRV-704119,,"[""claim number"", ""customer identifier/contact details if needed to resend the email""]",False,,0.93
insurance-email-077,Moving to a new garage,"Hi, I changed the place where my car is usually kept overnight. Do I need to tell you for policy AUT-284600? Please advise.",auto,policy_change,medium,neutral,Customer says they have changed where their car is kept overnight and asks whether this needs to be updated for policy AUT-284600.,AUT-284600,,"[""Whether the new overnight parking/garage address should be added to the policy""]",False,,0.98
insurance-email-078,Home insurance for shared accommodation,"Hello, I now share my flat with two friends and want to know if this affects my home cover. Policy HMO-990174. I just want to be sure.",home,policy_information,medium,neutral,Customer asks whether sharing their flat with two friends affects their home insurance cover and provides policy HMO-990174.,HMO-990174,,[],False,,0.95
insurance-email-079,Travel claim receipt query,"Good evening, I sent my receipts for a meal reimbursement claim but the amount seems wrong. Claim TRC-331265. Could you check it?",travel,claim_status,high,negative,"Customer says they submitted meal reimbursement receipts for a travel claim and believes the amount paid is wrong, asking for a check.",,TRC-331265,[],True,"The customer is disputing the claim amount, which may involve a claim decision and requires human review.",0.95
insurance-email-080,Need policy number confirmation,"Dear team, can you confirm the policy number for my car insurance? I think it is AUT-556988 but I want to make sure I use the right one.",auto,policy_information,low,neutral,Customer asks to confirm the policy number for their car insurance and provides a possible policy number.,AUT-556988,,[],False,,0.97
insurance-email-081,Complaint about delayed response,"Hello, I am very unhappy with how long it is taking to get a reply about my home claim. I have written twice already and still no answer. Claim HCL-118620. Please deal with this urgently.",home,complaint,urgent,angry,Customer is complaining about delayed replies regarding a home claim and asks for urgent attention.,,HCL-118620,[],True,The email is a complaint about delayed handling of a claim and requests urgent attention.,0.98
