code,record_type,insurance_type,status,details
HMO-990174,policy,home,payment_pending,Current premium payment is pending.
HMO-993210,policy,home,active,Active home policy record.
TRV-100447,policy,travel,active,Travel cover is currently active.
TRV-111904,policy,travel,payment_pending,Payment verification is pending for this travel policy.
TRV-119803,policy,travel,expired,Policy expired before the trip change request.
TRV-218344,policy,travel,active,Travel policy is in force.
TRV-218900,policy,travel,cancelled,Policy cancellation has been recorded.
TRV-221608,policy,travel,active,Coverage remains active for travel use.
TRV-229601,policy,travel,payment_pending,Premium payment is awaiting confirmation.
TRV-254811,policy,travel,active,Active travel cover is on file.
TRV-266509,policy,travel,expired,Policy is expired and not currently valid.
TRV-300118,policy,travel,active,Travel policy remains active.
TRV-308452,policy,travel,cancelled,Policy is cancelled and inactive.
TRV-331877,policy,travel,active,Active travel insurance cover is present.
TRV-407731,policy,travel,payment_pending,Renewal payment is pending processing.
TRV-413089,policy,travel,active,Policy is active for the covered trip.
TRV-439275,policy,travel,expired,Travel policy expired prior to the request.
TRV-452108,policy,travel,active,Current travel cover is active.
TRV-477201,policy,travel,cancelled,Policy cancellation is confirmed in the record.
TRV-500271,policy,travel,active,Travel policy is active and valid.
TRV-509118,policy,travel,payment_pending,Payment remains outstanding for renewal.
TRV-550193,policy,travel,active,Standard travel cover is in force.
TRV-603410,policy,travel,expired,Policy has expired and is no longer active.
TRV-622847,policy,travel,active,Travel insurance remains active.
TRV-642118,policy,travel,cancelled,Policy was cancelled before the trip date.
TRV-665408,policy,travel,active,Active policy record for travel cover.
TRV-670014,policy,travel,payment_pending,Payment verification is still needed.
TRV-704119,policy,travel,active,Policy is active and available for claims.
TRV-715309,policy,travel,expired,Policy expired before recent contact.
TRV-771430,policy,travel,active,Travel cover remains active.
TRV-773519,policy,travel,cancelled,Policy is cancelled and no longer in force.
TRV-847260,policy,travel,active,Active travel insurance is on record.
TRV-875390,policy,travel,payment_pending,A pending payment is blocking confirmation.
TRV-880261,policy,travel,active,Policy remains active for the travel period.
TRV-880512,policy,travel,expired,Travel policy has expired.
TRV-900115,policy,travel,active,Current cover is active and valid.
TRV-904512,policy,travel,cancelled,Policy cancellation is stored in the system.
TRV-910084,policy,travel,active,Travel policy is active in the system.
TRV-990624,policy,travel,payment_pending,Payment is pending for policy continuation.
TRV-992103,policy,travel,active,Active travel cover is confirmed.
