id,subject,body
insurance-email-017,Travel delay reimbursement,"Hello, my flight was delayed for over 10 hours and I had to pay for a hotel. Can I submit this under my travel insurance? Policy TRV-100447. I have the receipts."
insurance-email-018,Question about no claim discount,"Hi, I want to know whether my no claim discount is still intact on my car insurance. Policy AUT-781205. I had a windscreen repair last year, if that matters."
insurance-email-019,Claim documents uploaded,"Good day, I uploaded all the documents for claim CLM-332119 yesterday, but the portal still shows pending. Could you confirm if they were received? It was for a stolen bicycle from my garage."
insurance-email-020,Need policy start date,"Hello, can you tell me the exact start date of my travel policy? I only have the reference TRV-665408 and need it for a visa appointment. Thanks."
insurance-email-021,Home insurance for a rental property,"Dear insurance team, I own a rental flat and need to know if my current home policy covers it or if I need a different one. Policy HMO-830115. Please advise."
insurance-email-022,Auto accident on Saturday,"Hi, I had a small accident on Saturday and want to report it. Nobody was injured, but my front bumper is damaged. My policy number is AUT-490772. What should I do next?"
insurance-email-023,Travel policy for my son,"Hello, I bought a family travel policy and I am not sure whether my 16-year-old son is covered for the whole trip. Policy TRV-218344. Please confirm."
insurance-email-024,Incorrect premium amount,"Dear support, my latest auto insurance payment request shows a different amount than my last statement. Policy AUT-603991. Could you explain the difference? I don't think I changed anything."
insurance-email-025,Claim status please,"Hi, I filed a home claim after my ceiling started leaking. Claim number HCL-119804. Can you tell me if someone has been assigned yet? I haven't received any calls."
insurance-email-026,Need to change my cover start date,"Hello, I need to move the start date of my travel insurance by one week because my departure changed. Policy TRV-477201. Please let me know if that is possible."
insurance-email-027,Damage to side mirror,"Good morning, my car's side mirror was broken in a parking lot. I want to open a claim under policy AUT-115933. The car is still drivable."
insurance-email-028,Policy wording request,"Dear all, could you send me the full wording for my home insurance policy? Number HMO-551809. I need to check the escape of water section."
insurance-email-029,Refund after cancellation,"Hello, I cancelled my travel policy a few days ago but have not seen the refund yet. Policy TRV-229601. Can you tell me when it will be processed?"
insurance-email-030,Urgent: claim not progressing,"Hi, this is taking way too long. My auto claim CLM-771044 was opened nearly two weeks ago and I still don't know what's happening. Please respond today if possible."
insurance-email-031,Change beneficiary on policy,"Dear team, I would like to update the beneficiary contact on my home insurance records. Policy HMO-404512. Please tell me the next step, as I can't find the form."
insurance-email-032,Travel medical issue,"Hello, while abroad I had to visit a clinic after twisting my ankle. I believe my travel insurance may cover this. Policy TRV-875390. What documents do you need from the doctor?"
insurance-email-033,Need help with direct debit,"Hi, my auto insurance direct debit date is not suitable anymore. Policy AUT-220507. Can you change it to the 15th of each month? Thanks."
insurance-email-034,Water damage claim,"Good afternoon, a pipe burst under my kitchen sink and there is water damage to the cabinets. I want to start a home claim. Policy HMO-993210."
insurance-email-035,Can I pay by bank transfer?,"Hello, I usually pay for my travel insurance by card, but this month I would rather use bank transfer. Policy TRV-300118. Is that allowed?"
insurance-email-036,Documents for car claim,"Dear claims team, I have the police report and repair estimate for claim AUT-667901. Where should I send them? I already submitted the initial notice."
insurance-email-037,Policy certificate needed today,"Hi, I need my home insurance certificate urgently for my landlord. Policy HMO-188230. Please send it as soon as you can."
insurance-email-038,Wrong vehicle registration,"Hello, I noticed the registration number on my auto policy is wrong. Policy AUT-775310. The correct plate should be FJ12 KLM, not the one listed."
insurance-email-039,Trip cancellation question,"Dear support, my holiday may be cancelled because of a family emergency. If that happens, can I claim on my travel insurance? Policy TRV-611004. I am not sure yet."
insurance-email-040,Home claim estimate,"Hi, I have a home claim for a broken window after a break-in. Claim HCL-778811. Has the repair estimate been approved? I need to arrange the work soon."
insurance-email-041,Need to speak to someone,"Hello, I have been trying to reach your team about my car insurance but keep getting stuck in the automated phone system. Policy AUT-118776. Please call me back."
insurance-email-042,Travel insurance for ski trip,"Good morning, does my travel policy include winter sports? I am going skiing next month. Policy TRV-904512. If not, how do I add it?"
insurance-email-043,Claim payment question,"Dear team, I received the settlement for my auto claim but I do not understand how it was calculated. Claim number CLM-559870. Could you break it down for me?"
insurance-email-044,Update my email address,"Hi, please change the email on file for my home insurance account to a new one. Policy HMO-620194. I will use this address from now on."
insurance-email-045,Late premium notice,"Hello, I received a late payment notice for my travel policy, but I already paid it last week. Policy TRV-407731. Can you check this please?"
insurance-email-046,Claim for stolen luggage,"Good evening, I returned from a trip and my suitcase was stolen at the airport. I need to open a claim. Travel policy TRV-992103. I have the incident reference."
insurance-email-047,Home insurance for basement room,"Dear insurer, I rent out a room in my basement sometimes. Does my current home policy cover this situation? Policy HMO-311905. I am not sure if I need to tell you."
insurance-email-048,Need a copy of my last statement,"Hello, can you send me the last statement for my auto policy? Number AUT-500889. I need it for my files."
insurance-email-049,Claim still under review,"Hi, my home claim CLM-845221 has been listed as under review for several days. Is there anything missing from my side? I uploaded the pictures already."
insurance-email-050,Travel insurance for extra days,"Dear team, my trip got extended by three days and I want to make sure the travel cover still applies. Policy TRV-254811. Please confirm."
insurance-email-051,Broken windshield claim,"Hello, a rock hit my windshield on the highway and it cracked badly. I need to file an auto claim. Policy AUT-739105. Is this covered with my excess?"
insurance-email-052,Need change in occupants,"Hi, two people moved out of my home and one moved in. Do I need to tell you for my home insurance? Policy HMO-908112. I don't want any problems later."
insurance-email-053,Travel claim receipt sent,"Good day, I sent the taxi receipts for claim TRC-440918 but I am not sure if they arrived. Could you confirm receipt? Thanks."
insurance-email-054,Auto insurance renewal query,"Dear support, my auto renewal is coming up soon and I want to know if the premium can be paid monthly instead of all at once. Policy AUT-992450."
insurance-email-055,Need proof of no claims,"Hello, I am switching cars and need proof of no claims for my current policy. AUT-314208. Could you send the document by email?"
insurance-email-056,Home claim for electrical fault,"Hi, there was an electrical fault in my living room and the lights stopped working. I am not sure if this is a claim or just a question. Policy HMO-113490. Please advise."
insurance-email-057,Travel policy not showing,"Good morning, I bought travel insurance online but I can't find the policy in my account. I only have the reference TRV-880261. Can you help?"
insurance-email-058,Please check my claim number,"Dear team, I think I wrote my claim number incorrectly on the form. It should be CLM-220774, or maybe CLM-220775. Could you check which one is active?"
insurance-email-059,Change vehicle on policy,"Hi, I sold my old car and bought another one. I need to change the vehicle details on policy AUT-644901. Please tell me what information you require."
insurance-email-060,Holiday cancellation evidence,"Hello, I had to cancel my trip due to a last-minute medical issue. I need to send proof for my travel claim. Policy TRV-715309. Where should I upload the doctor note?"
insurance-email-061,Home policy renewal question,"Dear insurance company, my home policy is due soon and I want to know if I can keep the same cover without increasing the sum insured. Policy HMO-470128."
insurance-email-062,Claim call back request,"Hi, I opened a claim for damage to my garage door after strong wind. Claim HCL-900517. Could someone call me back? I missed a message from your team."
insurance-email-063,Travel cover for electronics,"Hello, does my travel insurance cover my laptop if it is damaged on the trip? Policy TRV-622847. I may take it with me for work."
insurance-email-064,Payment schedule needed,"Good afternoon, I would like to change my auto insurance payments from annual to quarterly. Policy AUT-107664. Is that possible for my account?"
insurance-email-065,Claim estimate too low,"Dear claims team, I do not agree with the repair estimate for my car claim CLM-551933. It seems much too low compared with the garage quote I received."
insurance-email-066,Need house inventory advice,"Hello, I am updating my home contents list and want to know if I should send it to you. Policy HMO-276501. Not sure if it is needed."
insurance-email-067,Travel insurance extension,"Hi, I may stay abroad longer than expected and need to extend my travel policy by one more week. Policy TRV-119803. Can this be done?"
insurance-email-068,Auto claim after hailstorm,"Good day, my car got dented during a hailstorm last night. I want to report the damage. Policy AUT-832114. There are several dents on the roof and hood."
insurance-email-069,Need confirmation of cover,"Hello, I am about to rent a car on holiday and want to know if my travel policy includes rental excess cover. Policy TRV-500271. Please confirm."
insurance-email-070,Policy questions about vacant home,"Dear team, my house will be empty for about two months while I work overseas. Does my home policy still cover it? Policy HMO-883190. I can give more details if needed."
insurance-email-071,Claim progress after inspection,"Hi, an inspector visited my apartment for claim CLM-774205 last week. Can you tell me what the next step is? I have not heard anything since then."
insurance-email-072,Update payment card,"Hello, my card expired and I need to update the payment details for my auto insurance. Policy AUT-690123. Please let me know how to do this."
insurance-email-073,Travel policy for business trip,"Dear support, I bought travel insurance for a leisure trip, but now the trip is for business instead. Is my policy still valid? Reference TRV-221608."
insurance-email-074,Broken pipe and ceiling stain,"Hi, I found water stains on my ceiling after a pipe problem upstairs. I want to start a home claim if possible. Policy HMO-415902."
insurance-email-075,Request for duplicate letter,"Hello, I need a duplicate letter showing my auto insurance is active. Policy AUT-333801. Could you send it by email today?"
insurance-email-076,Claim number missing from email,"Dear team, I got an email about my travel claim but the claim number was blank. I think it relates to my luggage delay. Policy TRV-704119. Can you resend it?"
insurance-email-077,Moving to a new garage,"Hi, I changed the place where my car is usually kept overnight. Do I need to tell you for policy AUT-284600? Please advise."
insurance-email-078,Home insurance for shared accommodation,"Hello, I now share my flat with two friends and want to know if this affects my home cover. Policy HMO-990174. I just want to be sure."
insurance-email-079,Travel claim receipt query,"Good evening, I sent my receipts for a meal reimbursement claim but the amount seems wrong. Claim TRC-331265. Could you check it?"
insurance-email-080,Need policy number confirmation,"Dear team, can you confirm the policy number for my car insurance? I think it is AUT-556988 but I want to make sure I use the right one."
insurance-email-081,Complaint about delayed response,"Hello, I am very unhappy with how long it is taking to get a reply about my home claim. I have written twice already and still no answer. Claim HCL-118620. Please deal with this urgently."
insurance-email-082,Travel policy cancellation fee,"Hi, if I cancel my travel insurance before the start date, is there a fee? Policy TRV-439275. I might not need the trip anymore."
insurance-email-083,Auto policy document correction,"Dear support, the spelling of my surname is incorrect on my auto documents. Policy AUT-720118. Please correct it to the proper spelling."
insurance-email-084,Need help after fire alarm incident,"Hello, there was a small electrical fire in my kitchen and the smoke alarm went off. I'm not sure whether this is a claim or just for advice. Home policy HMO-601347."
insurance-email-085,Travel insurance proof for airline,"Good afternoon, the airline asked me to show proof of travel insurance at check-in. Could you send me a certificate for policy TRV-910084? Thanks."
insurance-email-086,Auto claim settlement received,"Hi, I received a cheque for my auto claim but I don't understand if it is the final amount. Claim number CLM-665430. Can you confirm?"
insurance-email-087,Home contents query,"Dear team, does my home policy cover accidental damage to a television if my child knocks it over? Policy HMO-374901. I am trying to understand the cover."
insurance-email-088,Travel claim and missing bag tag,"Hello, my checked bag did not arrive and I filed a claim. I have the airline report but lost the bag tag. Claim TRC-558120. Is the tag required?"
insurance-email-089,Change of occupation,"Hi, my job has changed recently and I am wondering if I need to tell you for my car insurance. Policy AUT-449773. Please advise."
insurance-email-090,Need an update on home repair,"Dear claims team, the contractor said he was waiting for approval from you. Claim CLM-904331 for water damage at my home. Can you let me know if it is approved yet?"
insurance-email-091,Travel insurance starting tomorrow,"Hello, I bought travel insurance for a trip leaving tomorrow, but I cannot see the confirmation email. Policy TRV-266509. Please resend it if possible."
insurance-email-092,Auto renewal with new mileage,"Hi, my annual car mileage has gone up and I want to check if that changes my premium. Policy AUT-818270. I can send the new estimate if needed."
insurance-email-093,Home claim due to theft,"Good morning, someone broke into my shed and took tools. I want to report a home contents claim. Policy HMO-567128. I have a list of the missing items."
insurance-email-094,Need help understanding excess,"Dear team, could you explain what excess I would need to pay if I make a claim on my travel insurance? Policy TRV-603410. I am not sure I understand the wording."
insurance-email-095,Change name after marriage,"Hello, I got married and need the name on my home policy updated. Policy HMO-822605. Please tell me what documents you need."
insurance-email-096,Car damage after pothole,"Hi, I hit a deep pothole and now one of my tires and the rim are damaged. Can I claim under my auto policy? Number AUT-190744."
insurance-email-097,Travel reimbursement for missed connection,"Good day, I missed my connecting flight because the first plane arrived late. I had to buy a new ticket. Policy TRV-773519. Can I claim this?"
insurance-email-098,Home policy for basement flood,"Dear support, my basement flooded after heavy rain and I want to know whether my policy covers this. Policy HMO-318944. Please advise before I arrange repairs."
insurance-email-099,Claim number and policy confusion,"Hello, I have both a claim number and policy number but I am not sure which one to use for an update request. The claim might be CLM-201995 and the policy is AUT-501337. Sorry for the confusion."
insurance-email-100,Can you send proof of insurance?,"Hi, I need proof that my auto insurance is active because I am registering a car this week. Policy AUT-675214. Could you email it to me today?"
insurance-email-101,Travel claim for cancelled excursion,"Dear team, I booked an excursion on holiday but it was cancelled by the operator and I lost the money. Does travel insurance cover this? Policy TRV-880512."
insurance-email-102,Home insurance billing question,"Hello, my home policy payment is normally taken on the 3rd, but this month it came out on the 1st. Policy HMO-144739. Can you explain why?"
insurance-email-103,Need to add glass cover,"Hi, I want to add glass cover to my car insurance because my windshield keeps getting chips. Policy AUT-947221. Please let me know the cost."
insurance-email-104,Claim follow-up after phone call,"Good afternoon, I spoke to someone last week about claim HCL-700418 for storm damage, and they said I would get an update. I have not received one yet."
insurance-email-105,Travel policy certificate for employer,"Dear support, my employer needs a copy of my travel insurance certificate for an upcoming work trip. Policy TRV-339801. Please send a PDF if possible."
insurance-email-106,Policy not found in app,"Hello, I added my home insurance to the app but it does not show any details. Policy HMO-920455. Can you check if everything is linked correctly?"
insurance-email-107,Accident report question,"Hi, I had a small bump with another car in a supermarket car park. Do I need to send a police report for my auto claim? Policy AUT-608933. Nobody was hurt."
insurance-email-108,Travel insurance for lost passport,"Good morning, I lost my passport during a trip and had to pay for replacement papers. Is that something I can claim on travel insurance? Policy TRV-452108."
insurance-email-109,Home claim pending approval,"Dear claims department, my house claim CLM-996210 has been pending for a week. Can you tell me if any more evidence is needed? I already sent the photos and estimate."
insurance-email-110,Update bank details,"Hello, my bank account changed and I need to update the payment details for my travel policy. Policy TRV-111904. Please let me know how."
insurance-email-111,Auto policy cover abroad,"Hi, I am taking my car into another country for a few months and want to make sure the auto policy still covers me there. Policy AUT-777209. Thanks."
insurance-email-112,Need copy of claim form,"Dear team, could you send me a copy of the claim form I submitted for my home damage case? Claim number CLM-388415. I need it for my records."
insurance-email-113,Travel claim mistake,"Hello, I think I selected the wrong trip dates when I filed my travel claim. Claim TRC-509773. Is it possible to correct this?"
insurance-email-114,Home insurance and new pets,"Hi, we just got two cats and I am wondering if that affects my home insurance in any way. Policy HMO-663290. Please let me know."
insurance-email-115,Car repair approval needed,"Good evening, my garage says they are waiting for approval before repairing my car. Claim CLM-120884. Could you tell me if the repair has been authorized?"
insurance-email-116,Travel cover for winter sports equipment,"Hello, I want to take ski equipment on my trip and I need to know if travel insurance covers damage or loss. Policy TRV-509118."
insurance-email-117,Please resend renewal notice,"Dear support, I cannot find my home insurance renewal notice anymore. Policy HMO-101773. Could you resend it to me?"
insurance-email-118,Auto claim from last night,"Hi, another driver hit my parked car last night and drove off. I need to open a claim. Policy AUT-449102. I have the time and place written down."
insurance-email-119,Question about pre-existing condition,"Hello, I have a medical condition and I am unsure if it affects my travel insurance cover. Policy TRV-670014. Please advise."
insurance-email-120,Home policy transfer request,"Dear team, I am buying a new house and want to know if my current home policy can be transferred or if I need a new one. Policy HMO-285617."
insurance-email-121,Need help with instalments,"Hi, I would like to split my auto premium into monthly instalments instead of paying all at once. Policy AUT-912340. Is there a fee for doing this?"
insurance-email-122,Travel claim and hotel receipt,"Good day, I submitted my claim for a cancelled flight and hotel stay, but I may have sent the wrong receipt. Claim CLM-555190. Can I replace it?"
insurance-email-123,Home repair contractor question,"Hello, can I choose my own contractor for the repair on my home claim, or do I have to use someone you assign? Claim HCL-640902."
insurance-email-124,Auto insurance proof for employer,"Dear insurance team, my employer wants proof that my car is insured for business parking. Policy AUT-305661. Can you send a confirmation letter?"
insurance-email-125,Travel policy activated?,"Hi, I paid for travel insurance this morning but I am not sure if it is active yet. Reference TRV-847260. I leave tonight, so I need to know."
insurance-email-126,Home claim after burglary,"Hello, my back door was forced open and some jewelry is missing. I want to report a claim under my home policy. HMO-712408. What details do you need?"
insurance-email-127,Change address after move,"Dear team, I moved and need to update the address on my auto policy too because the parking location changed. Policy AUT-110889. Please tell me the process."
insurance-email-128,Travel claim refund status,"Hi, you approved my travel claim a while ago and I still have not received the payment. Claim TRC-204771. Could you check the payout status?"
insurance-email-129,Need a policy summary,"Hello, could you send me a summary of my home cover? I only need a simple overview of what is included. Policy HMO-556712."
insurance-email-130,Car insurance question after sale,"Hi, I sold my car yesterday and I am not sure what happens to the insurance now. Policy AUT-776401. Do I cancel it or can I move it to a new car?"
insurance-email-131,Claim not visible online,"Good morning, I lodged a claim for roof damage after heavy wind but it does not appear in my account. Claim CLM-330144. Can you check?"
insurance-email-132,Travel insurance for family visit,"Dear support, I am travelling to visit family and want to know if my travel policy covers a trip with multiple stops. Policy TRV-218900. Thanks."
insurance-email-133,Need to update marital status,"Hello, my marital status changed and I want to know if I should update my home insurance records. Policy HMO-450918. Please advise."
insurance-email-134,Auto claim for broken taillight,"Hi, my taillight was smashed while the car was parked outside my building. I want to open a claim. Policy AUT-633118. There was no note left."
insurance-email-135,Travel certificate for embassy,"Dear team, the embassy requested a travel insurance certificate for my visa file. Policy TRV-990624. Please send it if you can."
insurance-email-136,"Home policy question, not sure","Hello, I heard that leaving windows open can affect home insurance. Is that true for my policy? HMO-808553. I am not certain."
insurance-email-137,Claim update after repair quote,"Hi, I uploaded a repair quote for claim CLM-778230 but the portal still says waiting. Can someone confirm if it was received?"
insurance-email-138,Auto direct debit failed again,"Dear support, my auto policy payment failed again even though I changed my card last month. Policy AUT-500117. Please help before I get a late fee."
insurance-email-139,Travel insurance change due to date shift,"Hello, my trip dates have shifted slightly and I want to adjust the travel policy to match. Policy TRV-413089. Let me know if that is possible."
insurance-email-140,Need copy of home claim decision,"Good evening, could you send me the decision letter for my home claim? Claim number HCL-905744. I need the paperwork for my landlord."
insurance-email-141,Auto policy and learner driver,"Hi, my teenage son has started learning to drive and I want to know if he can be covered on my auto policy. Policy AUT-228470. He only drives with supervision."
insurance-email-142,Travel claim for missed baggage connection,"Hello, my luggage missed the connection and arrived two days late. I filed a travel claim but I don't know what expenses are acceptable. Policy TRV-642118."
insurance-email-143,Home insurance when renovating,"Dear team, we are planning some renovation work in the house and I want to check if I need to tell you. Policy HMO-937205. The work starts next month."
insurance-email-144,Need duplicate payment receipt,"Hi, can you send me a receipt for my last auto insurance payment? Policy AUT-114399. My records are incomplete."
insurance-email-145,Travel claim after medical appointment,"Good afternoon, I had to pay for an appointment while on holiday because I felt unwell. Can I claim this on my travel insurance? Policy TRV-771430. I have the invoice."
insurance-email-146,Complaint about claim handling,"Hello, I am frustrated because every time I call about claim CLM-470833 I get a different answer. This has been very poor service and I need someone to sort it out now."
insurance-email-147,Home policy for holiday let,"Dear support, I may start renting my house as a holiday let for short periods. Does my home insurance allow that? Policy HMO-240761. Please let me know."
insurance-email-148,Auto claim estimate request,"Hi, I want to know if I can get an estimate before opening a full claim for the damage to my bumper. Policy AUT-879160. It is only a small scrape."
insurance-email-149,Travel policy question about spouse,"Hello, my wife will join my trip later than me. Is she still covered under my travel policy if she arrives separately? Policy TRV-308452."
insurance-email-150,Need confirmation of home cover,"Dear insurance team, I just want written confirmation that my home insurance is active and up to date. Policy HMO-619874. Please send a brief confirmation by email."
